0,0,0.075,0.05,0.125,0.2,0.125,0.075,0,0.025,0.075,0.025,0.025,0.05,0.125,0,0.025
0,0.125,0.075,0.025,0.05,0.05,0.025,0.1,0.075,0.075,0.1,0.025,0.05,0.05,0.05,0.075,0.05
1,0.075,0.025,0.05,0.075,0.025,0.05,0.075,0.05,0.125,0.075,0.05,0.075,0.025,0.025,0.15,0.05
0,0.025,0.025,0,0.05,0,0.1,0.1,0.1,0.025,0.075,0.125,0.075,0.05,0.1,0.075,0.075
1,0.075,0.025,0.075,0.05,0.05,0.15,0.15,0,0.075,0.125,0.05,0.05,0,0.05,0.025,0.05
0,0,0.025,0.025,0.05,0.025,0.075,0.075,0.125,0.025,0.125,0.075,0.025,0.05,0.05,0.1,0.15
1,0.025,0.05,0.025,0.075,0.075,0.075,0.075,0.075,0.05,0.1,0,0.05,0.05,0.075,0.075,0.125
0,0.025,0,0.125,0.05,0.075,0.05,0,0.05,0.05,0.075,0.025,0.125,0.05,0.075,0.1,0.125
1,0.075,0.05,0.075,0.075,0.1,0.05,0.075,0.05,0.1,0.125,0.075,0,0,0.05,0.075,0.025
1,0.05,0.05,0.025,0.075,0.075,0.05,0.15,0.05,0.05,0.175,0.075,0,0.025,0.05,0.075,0.025
0,0.1,0.025,0.025,0.1,0,0.025,0.1,0.025,0.125,0.025,0.125,0.1,0.025,0.075,0.125,0
0,0.15,0.025,0.075,0.1,0.075,0.05,0.025,0.05,0.05,0.025,0.05,0.075,0.05,0.1,0.075,0.025
0,0,0.075,0.075,0,0.025,0.025,0.1,0.1,0.1,0.125,0.025,0.05,0.05,0.025,0.075,0.15
1,0,0.025,0,0.075,0.025,0,0.075,0.075,0.075,0.15,0.15,0.025,0,0.025,0.15,0.15
0,0.075,0.025,0.025,0.15,0.05,0.05,0.025,0.075,0.025,0.075,0.025,0.025,0.125,0.075,0.075,0.1
1,0.075,0.125,0.025,0,0,0.075,0.125,0.1,0.05,0.075,0.025,0.1,0.075,0.025,0.1,0.025
1,0.125,0.05,0.075,0.05,0.075,0.025,0.075,0.025,0.075,0.05,0.025,0.075,0.05,0.05,0.05,0.125
0,0.025,0.1,0,0.025,0.1,0.125,0.075,0.025,0.025,0.075,0.075,0.1,0,0,0.15,0.1
1,0.075,0.025,0.1,0.075,0.025,0.025,0.125,0.075,0.175,0.075,0.025,0.025,0,0.1,0.05,0.025
1,0.075,0.1,0.025,0.075,0.075,0.025,0.1,0.05,0.05,0.075,0.05,0.025,0.075,0.05,0.025,0.125
0,0.025,0.125,0.025,0.05,0.05,0.075,0.075,0.125,0.075,0.125,0,0.025,0.075,0.025,0.1,0.025
0,0.025,0.025,0.05,0.125,0.05,0.025,0.05,0.05,0.075,0.025,0.025,0.075,0.1,0.1,0.075,0.125
1,0.025,0.15,0.05,0,0.1,0.1,0.125,0.05,0.025,0.15,0.05,0.05,0.05,0,0.05,0.025
1,0.05,0.075,0,0.15,0.1,0.075,0,0.075,0,0.025,0,0.075,0.1,0.1,0.1,0.075
1,0.025,0.025,0.025,0.125,0.1,0.075,0.025,0.075,0.025,0.1,0.075,0.025,0.05,0.075,0.075,0.1
0,0.1,0.025,0.05,0.025,0.1,0.05,0.075,0.075,0.025,0.15,0.05,0,0,0.05,0.05,0.175
